id;start_date;end_date;language
1;2020-05-23T21:41:30;2020-05-23T19:31:45;SPANISH
2;2020-05-23T02:31:41;2020-05-23T21:36:06;SPANISH
3;2020-05-23T17:27:00;2020-05-23T04:01:09;FRENCH
4;2020-05-23T08:44:31;2020-05-23T20:15:57;FRENCH
5;2020-05-23T18:14:49;2020-05-23T23:01:48;FRENCH
6;2020-05-23T12:07:10;2020-05-24T00:15:24;FRENCH
7;2020-05-23T13:52:30;2020-05-23T07:43:21;FRENCH
8;2020-05-23T12:48:43;2020-05-23T23:04:51;SPANISH
9;2020-05-23T11:29:52;2020-05-23T08:11:15;SPANISH
10;2020-05-23T19:41:56;2020-05-23T06:16:26;SPANISH
